people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1494,"Tom Ammiano",Tom,,Ammiano,,,1,D,1,Rep,HD-017,789209,70419,,Tom_Ammiano,267713,0
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen,SD-038,493316,16716,,Joel_Anderson_(California),248505,0
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen,SD-015,776647,58229,,James_Beall_Jr.,248442,0
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen,SD-008,12388609,9681,,Tom_Berryhill,248444,0
1502,"Marty Block",Marty,,Block,,,1,D,2,Sen,SD-039,6485591,104437,,Martin_Block,267805,0
1503,"Robert Blumenfield",Robert,,Blumenfield,,Bob,1,D,1,Rep,HD-045,6485598,104387,,Bob_Blumenfield,267751,0
1504,"Steven Bradford",Steven,,Bradford,,,1,D,1,Rep,SD-035,357173,56752,,Steven_Bradford,281132,0
1506,"Joan Buchanan",Joan,T.,Buchanan,,,1,D,1,Rep,HD-016,21966,104351,,Joan_Buchanan,267716,0
1510,"Wesley Chesbro",Wesley,,Chesbro,,,1,D,1,Rep,HD-002,13008401,16646,,Wesley_Chesbro,192992,0
1511,"Connie Conway",Connie,,Conway,,,2,R,1,Rep,HD-026,6673749,81797,,Connie_Conway,267742,0
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen,SD-024,2322930,59926,,Kevin_de_Le%C3%B3n,248464,0
1518,"Bill Emmerson",Bill,,Emmerson,,,2,R,2,Sen,SD-023,13008783,29356,,William_Emmerson,226486,0
1520,"Noreen Evans",Noreen,M.,Evans,,,1,D,2,Sen,SD-002,24705,29163,,Noreen_Evans,226453,0
1523,"Paul Fong",Paul,J.,Fong,,,1,D,1,Rep,HD-028,146024,104363,,Paul_Fong,267726,0
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen,SD-016,258108,57656,,Jean_Fuller,248448,0
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen,SD-001,13008426,59841,,Ted_Gaines,248430,0
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen,SD-005,21639,57629,,Cathleen_Galgiani,235746,0
1531,"Curt Hagman",Curt,,Hagman,,,2,R,1,Rep,HD-055,13008735,70547,,Curt_Hagman,267779,0
1532,"Isadore Hall",Isadore,,Hall,III,,1,D,1,Rep,HD-064,22070,70660,,"Isadore_Hall,_III",267767,0
1533,"Diane Harkey",Diane,L.,Harkey,,,2,R,1,Rep,HD-073,2272886,70764,,Diane_Harkey,267795,0
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen,SD-022,363200,69507,,Edward_Hernandez,248481,0
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen,SD-013,6485659,81552,,Gerald_Hill,267722,0
1540,"Dave Jones",Dave,,Jones,,,1,D,1,Rep,HD-009,13008469,28659,,Dave_Jones_(California),226455,0
1541,"Steve Knight",Steve,,Knight,,,2,R,2,Sen,SD-021,13008615,71098,,Stephen_Knight,267746,0
1542,"Ted Lieu",Ted,W.,Lieu,,,1,D,2,Sen,SD-028,2451821,1516,,Ted_Lieu,240581,0
1543,"Dan Logue",Dan,,Logue,,,2,R,1,Rep,HD-003,2324003,82026,,Dan_Logue,267698,0
1544,"Bonnie Lowenthal",Bonnie,,Lowenthal,,,1,D,1,Rep,HD-070,6485687,70442,,Bonnie_Lowenthal,267772,0
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen,SD-017,6485702,104370,,Bill_Monning,267734,0
1550,"Brian Nestande",Brian,,Nestande,,,2,R,1,Rep,HD-042,13008655,104422,,Brian_Nestande,267785,0
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen,SD-004,13008412,104331,,Jim_Nielsen,267695,0
1554,"John Perez",John,A.,Perez,,,1,D,1,Rep,HD-053,774880,104400,,John_Perez_(California),267761,0
1555,"Manuel Perez","V. Manuel",,Perez,,,1,D,1,Rep,HD-056,6485714,104441,,Manuel_Perez,267809,0
1561,"Nancy Skinner",Nancy,C.,Skinner,,,1,D,1,Rep,SD-009,81851,104350,,Nancy_Skinner_(California),267715,0
1567,"Norma Torres",Norma,J.,Torres,,,1,D,2,Sen,SD-032,6485739,71284,,Norma_Torres,267783,0
1571,"Mariko Yamada",Mariko,,Yamada,,,1,D,1,Rep,HD-004,2020228,81977,,Mariko_Yamada,267705,0
1575,"Ronald Calderon",Ronald,S.,Calderon,,,1,D,2,Sen,SD-030,1257070,28545,,Ronald_S._Calderon,211761,0
1578,"Ellen Corbett",Ellen,M.,Corbett,,,1,D,2,Sen,SD-010,6398854,16726,,Ellen_Corbett,193047,0
1579,"Lou Correa",Lou,,Correa,,,1,D,2,Sen,SD-034,6398747,9732,,Lou_Correa,193097,0
1582,"Mark DeSaulnier",Mark,,DeSaulnier,,,1,D,2,Sen,SD-007,24686,69477,,Mark_DeSaulnier,248434,0
1588,"Robert Huff",Robert,,Huff,,Bob,2,R,2,Sen,SD-029,13008765,16575,,Bob_Huff,226482,0
1590,"Mark Leno",Mark,,Leno,,,1,D,2,Sen,SD-011,22531,28596,,Mark_Leno,211743,0
1591,"Carol Liu",Carol,J.,Liu,,,1,D,2,Sen,SD-025,22108,29060,,Carol_Liu,208493,0
1594,"Gloria McLeod",Gloria,Negrete,McLeod,,,1,D,2,Sen,SD-032,24848,16492,,Gloria_Negrete_McLeod,209457,0
1596,"Alex Padilla",Alex,,Padilla,,,1,D,2,Sen,SD-020,6468901,59742,,Alex_Padilla,248511,0
1597,"Fran Pavley",Fran,,Pavley,,,1,D,2,Sen,SD-027,1262346,29336,,Fran_Pavley,208490,0
1598,"Curren Price",Curren,D.,Price,Jr.,,1,D,2,Sen,SD-026,13008706,28973,,Curren_De_Mille_Price_Jr.,248473,0
1602,"Darrell Steinberg",Darrell,,Steinberg,,,1,D,2,Sen,SD-006,1920664,16861,,Darrell_Steinberg,193038,0
1604,"Mimi Walters",Mimi,,Walters,,,2,R,2,Sen,SD-037,13008846,29346,,Mimi_Walters,226571,0
1606,"Lois Wolk",Lois,,Wolk,,,1,D,2,Sen,SD-003,2230653,29062,,Lois_Wolk,211740,0
1607,"Roderick Wright",Roderick,D.,Wright,,Rod,1,D,2,Sen,SD-035,1346984,9775,,Roderick_Wright,193077,0
1608,"Mark Wyland",Mark,,Wyland,,,2,R,2,Sen,SD-038,2471345,29603,,Mark_Wyland,208501,0
1609,"Leland Yee",Leland,Y.,Yee,,,1,D,2,Sen,SD-008,6398629,28969,,Leland_Yee,211742,0
1610,"Loni Hancock",Loni,,Hancock,,,1,D,2,Sen,SD-009,6398685,29419,,Loni_Hancock,211744,0
9547,"Mike Gatto",Mike,,Gatto,,,1,D,1,Rep,HD-043,767512,120220,,Mike_Gatto,215724,0
10957,"Luis Alejo",Luis,A.,Alejo,,,1,D,1,Rep,HD-030,322143,112270,,Luis_Alejo,289363,0
10958,"Michael Allen",Michael,,Allen,,,1,D,1,Rep,HD-007,13008455,120167,,Michael_Allen_(California),255677,0
10959,"Toni Atkins",Toni,,Atkins,,,1,D,1,Rep,SD-039,145632,70372,,Toni_Atkins_(California),291013,0
10960,"Susan Bonilla",Susan,A.,Bonilla,,,1,D,1,Rep,HD-014,299294,82208,,Susan_Bonilla,290920,0
10963,"Roger Dickinson",Roger,,Dickinson,,,1,D,1,Rep,HD-007,13008457,28560,,Roger_Dickinson,290913,0
10964,"Tim Donnelly",Tim,,Donnelly,,,2,R,1,Rep,HD-033,6686300,120254,,"Tim_Donnelly_(U.S._House_candidate,_California)",290982,0
10965,"Richard Gordon",Richard,S.,Gordon,,Rich,1,D,1,Rep,HD-024,415439,81558,,Rich_Gordon,293423,0
10966,"Jeff Gorell",Jeff,,Gorell,,,2,R,1,Rep,HD-044,13008621,29051,,Jeff_Gorell,289374,0
10968,"Ricardo Lara",Ricardo,,Lara,,,1,D,2,Sen,SD-033,6489792,104399,,Ricardo_Lara,256029,0
10969,"Holly Mitchell",Holly,J.,Mitchell,,,1,D,2,Sen,SD-030,1322026,120230,,Holly_Mitchell,290963,0
10970,"Richard Pan",Richard,,Pan,,,1,D,1,Rep,SD-006,13008437,120159,,Richard_Pan,290901,0
10971,"Henry Perea",Henry,T.,Perea,,,1,D,1,Rep,HD-031,196867,71047,,Henry_T._Perea,290946,0
10972,"Bob Wieckowski",Bob,,Wieckowski,,,1,D,1,Rep,SD-010,13008529,71025,,Bob_Wieckowski,289354,0
10973,"Das Williams",Das,,Williams,,,1,D,1,Rep,HD-037,1801952,70639,,Das_Williams,290954,0
10975,"Michael Rubio",Michael,J.,Rubio,,,1,D,2,Sen,SD-016,24945,82337,,Michael_J._Rubio,293150,0
10977,"Juan Vargas",Juan,,Vargas,,,1,D,2,Sen,SD-040,622640,29100,,Juan_Vargas,143356,0
11232,"Kristin Olsen",Kristin,,Olsen,,,2,R,1,Rep,HD-012,13008491,70651,,Kristin_Olsen,290935,0
11609,"K H Achadjian","K H",,Achadjian,,Katcho,2,R,1,Rep,HD-035,13008599,81542,,K.H._Achadjian,289371,0
11610,"Nora Campos",Nora,,Campos,,,1,D,1,Rep,HD-027,196260,70451,,Nora_Campos,290931,0
11611,"Shannon Grove",Shannon,L.,Grove,,,2,R,1,Rep,SD-016,13008592,120204,,Shannon_Grove,290948,0
11612,"Benjamin Hueso",Benjamin,,Hueso,,Ben,1,D,2,Sen,SD-040,654343,70366,,Ben_Hueso,289431,0
11613,"Allan Mansoor",Allan,R.,Mansoor,,,2,R,1,Rep,HD-074,783014,70688,,Allan_R._Mansoor,289415,0
11614,"Mike Morrell",Mike,,Morrell,,,2,R,2,Sen,SD-023,711528,29706,,Mike_Morrell,290993,0
11616,"Donald Wagner",Donald,P.,Wagner,,Don,2,R,1,Rep,HD-068,208176,29636,,Donald_P._Wagner,291007,0
11920,"Roger Hernandez",Roger,,Hernandez,,,1,D,1,Rep,HD-048,13008693,71156,,Roger_Hernandez,300489,0
11921,"Anthony Cannella",Anthony,,Cannella,,,2,R,2,Sen,SD-012,13011175,70467,,Anthony_Cannella,289332,0
13078,"Beth Gaines",Beth,B.,Gaines,,,2,R,1,Rep,HD-006,6699813,129786,,Beth_Gaines,340286,0
14091,"Franklin Bigelow",Franklin,E.,Bigelow,,Frank,2,R,1,Rep,HD-005,13008441,82440,,Frank_Bigelow,390004,0
14092,"Richard Bloom",Richard,,Bloom,,,1,D,1,Rep,HD-050,11022796,70734,,Richard_Bloom,390005,0
14093,"Raul Bocanegra",Raul,,Bocanegra,,,1,D,1,Rep,HD-039,782382,138536,,Raul_Bocanegra,312766,0
14094,"Rob Bonta",Rob,,Bonta,,Bob,1,D,1,Rep,HD-018,13008519,129483,,Rob_Bonta,390007,0
14095,"Cheryl Brown",Cheryl,R.,Brown,,,1,D,1,Rep,HD-047,13008690,138513,,Cheryl_Brown_(California),256870,0
14096,"Edwin Chau",Edwin,,Chau,,Ed,1,D,1,Rep,HD-049,702180,104286,,Edwin_Chau,266766,0
14097,"Rocky Chavez",Rocky,J.,Chavez,,,2,R,1,Rep,HD-076,13008872,71016,,Rocky_Ch%C3%A1vez,331059,0
14098,"Ken Cooley",Ken,,Cooley,,,1,D,1,Rep,HD-008,717012,71245,,Ken_Cooley,280176,0
14099,"Brian Dahle",Brian,,Dahle,,,2,R,1,Rep,SD-001,13008404,82387,,Brian_Dahle,397013,0
14100,"Tom Daly",Tom,,Daly,,,1,D,1,Rep,HD-069,11022817,138462,,Tom_Daly,390030,0
14101,"Susan Eggman",Susan,Talamantes,Eggman,,,1,D,1,Rep,SD-005,1262442,70866,,Susan_Talamantes_Eggman,390043,0
14102,"Steve Fox",Steve,,Fox,,,1,D,1,Rep,HD-036,13008613,104382,,Steve_Fox_(California),390049,0
14103,"Jim Frazier",Jim,,Frazier,,,1,D,1,Rep,HD-011,11022751,113539,,Jim_Frazier,397019,0
14104,"Cristina Garcia",Cristina,,Garcia,,,1,D,1,Rep,HD-058,13008754,140262,,Cristina_Garcia,337126,0
14105,"Jimmy Gomez",Jimmy,,Gomez,,,1,D,1,Rep,HD-051,13008707,138524,,Jimmy_Gomez,390070,0
14106,"Adam Gray",Adam,,Gray,,,1,D,1,Rep,HD-021,11022764,138552,,Adam_Gray,256700,0
14107,"Chris Holden",Chris,R.,Holden,,,1,D,1,Rep,HD-041,11022784,71235,,Chris_Holden,390127,0
14108,"Ian Calderon",Ian,Charles,Calderon,,,1,D,1,Rep,HD-057,11022802,140248,,Ian_Charles_Calderon,337001,0
14109,"Reginald Jones-Sawyer",Reginald,B.,Jones-Sawyer,Sr.,Reggie,1,D,1,Rep,HD-059,770807,120229,,Reginald_Jones-Sawyer,289387,0
14110,"Marc Levine",Marc,B.,Levine,,,1,D,1,Rep,HD-010,779330,126593,,Marc_Levine_(California),390153,0
14111,"Eric Linder",Eric,,Linder,,,2,R,1,Rep,HD-060,11023315,138436,,Eric_Linder,408030,0
14112,"Brian Maienschein",Brian,,Maienschein,,,2,R,1,Rep,HD-077,13008880,70360,,Brian_Maienschein,390179,0
14113,"Jose Medina",Jose,,Medina,,,1,D,1,Rep,HD-061,386803,29082,,Jose_Medina,290996,0
14114,"Melissa Melendez",Melissa,A.,Melendez,,,2,R,1,Rep,SD-028,13008813,111859,,Melissa_Melendez,390303,0
14115,"Kevin Mullin",Kevin,,Mullin,,,1,D,1,Rep,HD-022,13008543,105586,,Kevin_Mullin_(California),390304,0
14116,"Al Muratsuchi",Al,,Muratsuchi,,,1,D,1,Rep,HD-066,11022814,138450,,Al_Muratsuchi,390306,0
14117,"Jim Patterson",Jim,,Patterson,,,2,R,1,Rep,HD-023,1516357,28881,,Jim_Patterson_(California),284029,0
14118,"Sharon Quirk-Silva",Sharon,,Quirk-Silva,,,1,D,1,Rep,HD-065,11022813,71051,,Sharon_Quirk-Silva,408041,0
14119,"Bill Quirk",Bill,,Quirk,,,1,D,1,Rep,HD-020,196435,109721,,Bill_Quirk,390320,0
14120,"Anthony Rendon",Anthony,,Rendon,,,1,D,1,Rep,HD-063,37194,138445,,Anthony_Rendon,390323,0
14121,"Mark Stone",Mark,,Stone,,,1,D,1,Rep,HD-029,299544,81650,,Mark_Stone,390336,0
14122,"Philip Ting",Philip,Y.,Ting,,Phil,1,D,1,Rep,HD-019,11022760,138545,,Phil_Ting,390346,0
14123,"Marie Waldron",Marie,,Waldron,,,2,R,1,Rep,HD-075,400355,57320,,Marie_Waldron,390360,0
14124,"Shirley Weber",Shirley,N.,Weber,,,1,D,1,Rep,HD-079,13008894,138421,,Shirley_Weber,390366,0
14125,"Scott Wilk",Scott,Thomas,Wilk,,,2,R,1,Rep,SD-021,11023296,138539,,Scott_Wilk,336303,0
14130,"Hannah-Beth Jackson",Hannah-Beth,,Jackson,,,1,D,2,Sen,SD-019,160620,16826,,Hannah-Beth_Jackson,193064,0
14134,"Richard Roth",Richard,,Roth,,,1,D,2,Sen,SD-031,11022836,138416,,Richard_Roth,397082,0
14219,"Adrin Nazarian",Adrin,,Nazarian,,,1,D,1,Rep,HD-046,11022792,138510,,Adrin_Nazarian,255975,0
16033,"Lorena Gonzalez Fletcher",Lorena,,"Gonzalez Fletcher",,,1,D,1,Rep,HD-080,133178,144488,,Lorena_Gonzalez_Fletcher,460820,0
16048,"Andy Vidak",Andy,,Vidak,,,2,R,2,Sen,SD-014,330788,120067,,Andy_Vidak,284496,0
16087,"Freddie Rodriguez",Freddie,,Rodriguez,,,1,D,1,Rep,HD-052,18912284,144673,,Freddie_Rodriguez,470803,0
16094,"Matt Dababneh",Matt,,Dababneh,,,1,D,1,Rep,HD-045,18912256,144893,,Matt_Dababneh,242136,0
16221,"Brian Jones",Brian,W.,Jones,,,2,R,1,Rep,SD-038,13008835,70781,,Brian_Jones_(California),247950,0
17428,"Rudy Salas",Rudy,,Salas,,,1,D,1,Rep,HD-032,255857,129492,,Rudy_Salas,235058,0
17429,"Sebastian Ridley-Thomas",Sebastian,,Ridley-Thomas,,,1,D,1,Rep,HD-054,173676,145971,,Sebastian_Ridley-Thomas,336236,0
