bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
660960,432536,2015-04-15,Assembly,"Do pass and be re-referred to the Committee on Local Government",6,1,0,0,7
660960,437175,2015-04-22,Assembly,"Do pass and be re-referred to the Committee on Appropriations",7,2,0,0,9
660960,443899,2015-05-06,Assembly,"Do pass",13,3,0,1,17
660960,445135,2015-05-11,Assembly,"AB2 ALEJO  Assembly Third Reading",63,13,0,4,80
660960,458549,2015-06-10,Senate,"Do pass as amended, and re-refer to the Committee on Transportation 	and Housing",5,1,0,1,7
660960,466029,2015-07-14,Senate,"Do pass, but re-refer to the Committee on Appropriations",9,2,0,0,11
660960,473678,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660960,474609,2015-08-27,Senate,"Do pass",5,2,0,0,7
660960,476081,2015-09-09,Senate,"Assembly 3rd Reading AB2 Alejo By Cannella",29,10,1,0,40
660960,476565,2015-09-12,Assembly,"AB2 ALEJO  Concurrence in Senate Amendments",58,15,0,7,80
660961,432597,2015-04-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",2,5,0,0,7
660961,432598,2015-04-15,Senate,"Set, first hearing.  Failed passage in Committee.  Reconsideration 	granted",0,7,0,0,7
660962,428350,2015-04-08,Senate,"Do pass, but re-refer to the Committee on Appropriations",7,0,0,0,7
660962,435251,2015-04-20,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660962,453689,2015-05-28,Senate,"Do pass",7,0,0,0,7
660962,455287,2015-06-01,Senate,"Senate 3rd Reading SB25 Roth",40,0,0,0,40
660962,466523,2015-07-15,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
660962,474373,2015-08-27,Assembly,"Do pass as amended",17,0,0,0,17
660962,475408,2015-09-01,Assembly,"SB 25 Roth  Senate Third Reading  By LINDER",79,0,0,1,80
660962,475640,2015-09-02,Senate,"Unfinished Business SB25 Roth Concurrence",40,0,0,0,40
660964,448486,2015-05-18,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",9,0,0,0,9
660965,436225,2015-04-21,Assembly,"Do pass and be re-referred to the Committee on Appropriations",6,0,0,1,7
660966,448440,2015-05-18,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",6,3,0,0,9
660966,453624,2015-05-28,Assembly,"Do pass as amended",12,0,0,5,17
660966,456642,2015-06-03,Assembly,"AB 43 STONE  Assembly Third Reading",69,3,0,8,80
660966,465631,2015-07-08,Senate,"Do pass, but re-refer to the Committee on Appropriations",6,0,1,0,7
660966,473725,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660967,428439,2015-04-08,Senate,"Do pass, but re-refer to the Committee on Appropriations",8,0,0,0,8
660967,445125,2015-05-11,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660967,453780,2015-05-28,Senate,"Do pass",5,0,2,0,7
660967,455923,2015-06-02,Senate,"Senate 3rd Reading SB15 Block",37,1,2,0,40
660969,427889,2015-04-07,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",7,0,0,0,7
660969,445518,2015-05-11,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660969,454082,2015-05-28,Senate,"Do pass as amended",7,0,0,0,7
660969,456617,2015-06-03,Senate,"Senate 3rd Reading SB29 Beall",40,0,0,0,40
660969,466140,2015-07-14,Assembly,"Do pass and be re-referred to the Committee on Appropriations",7,0,0,0,7
660969,474256,2015-08-27,Assembly,"Do pass as amended",16,1,0,0,17
660969,475676,2015-09-02,Assembly,"SB 29 Beall  Senate Third Reading  By MAIENSCHEIN",77,2,0,1,80
660969,475769,2015-09-03,Senate,"Unfinished Business SB29 Beall Concurrence",37,0,3,0,40
660971,432538,2015-04-15,Assembly,"Do pass as amended and be re-referred to the Committee on Revenue 	and Taxation",7,0,0,0,7
660971,448402,2015-05-18,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",9,0,0,0,9
660971,454104,2015-05-28,Assembly,"Do pass",17,0,0,0,17
660971,457305,2015-06-04,Assembly,"AB 35 CHIU  Assembly Third Reading",78,0,0,2,80
660971,466101,2015-07-14,Senate,"Do pass, but re-refer to the Committee on Appropriations",10,0,1,0,11
660971,473706,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660971,474528,2015-08-27,Senate,"Do pass",6,0,1,0,7
660971,476485,2015-09-11,Senate,"Assembly 3rd Reading ( Supplemental File 1)AB 35 Ch iu By",38,2,0,0,40
660971,476486,2015-09-12,Assembly,"AB 35 CHIU  Concurrence in Senate Amendments",79,0,0,1,80
660972,415924,2015-03-24,Senate,"Do pass, but re-refer to the Committee on Environmental Quality",7,2,0,0,9
660972,432574,2015-04-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",5,2,0,0,7
660972,453973,2015-05-28,Senate,"Do pass",5,2,0,0,7
660972,455426,2015-06-01,Senate,"Senate 3rd Reading SB20 Pavley",21,15,4,0,40
660972,463624,2015-04-27,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660972,555256,2016-06-23,Assembly,"Be referred to Committee on Natural Resources",11,0,0,0,11
660972,556754,2016-06-30,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",5,2,0,2,9
660972,559329,2016-08-11,Assembly,"Do pass as amended",11,3,0,6,20
660973,382249,2014-12-01,Assembly,"HR3 ATKINS  Assembly Third Reading",80,0,0,0,80
660974,432655,2015-04-15,Assembly,"Do pass and be re-referred to the Committee on Appropriations",6,0,0,1,7
660974,453990,2015-05-28,Assembly,"Do pass",17,0,0,0,17
660974,455977,2015-06-02,Assembly,"AB 10 GATTO  Assembly Third Reading",79,0,0,1,80
660974,465434,2015-07-07,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",4,0,1,0,5
660974,473669,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660974,474561,2015-08-27,Senate,"Do pass as amended",7,0,0,0,7
660974,476103,2015-09-09,Senate,"Assembly 3rd Reading AB10 Gatto By Lara",40,0,0,0,40
660974,476241,2015-09-10,Assembly,"AB 10 GATTO  Concurrence in Senate Amendments",80,0,0,0,80
660975,441182,2015-04-29,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
660975,453692,2015-05-28,Assembly,"Do pass",17,0,0,0,17
660975,455297,2015-06-01,Assembly,"AB 12 COOLEY  Assembly Third Reading",80,0,0,0,80
660975,466056,2015-07-14,Senate,"Do pass, but re-refer to the Committee on Appropriations",13,0,0,0,13
660975,474116,2015-08-24,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
660976,430754,2015-04-13,Senate,"Be adopted",4,1,0,0,5
660976,434113,2015-04-16,Senate,"Senate 3rd Reading SJR1 Beall",33,5,1,0,39
660976,462565,2015-06-24,Assembly,"From committee:  Be adopted.  To third reading",6,0,0,1,7
660976,464910,2015-07-02,Assembly,"SJR1 Beall  Senate Third Reading  By O'DONNELL",66,10,0,4,80
660978,412406,2015-03-17,Assembly,"Do pass",6,0,0,1,7
660978,418752,2015-03-26,Assembly,"AB 39 MEDINA  Assembly Third Reading",76,0,0,4,80
660978,460175,2015-06-16,Senate,"Do pass",7,0,0,0,7
660978,465130,2015-07-06,Senate,"Special Consent #4 AB39 Medina",39,0,1,0,40
660979,403976,2015-03-03,Assembly,"Do pass as amended and be re-referred to the Committee on Veterans 	Affairs",13,0,0,0,13
660979,409498,2015-03-10,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
660979,454065,2015-05-28,Assembly,"Do pass as amended",17,0,0,0,17
660979,457258,2015-06-04,Assembly,"AB 13 CHAVEZ  Third Reading Urgency",79,0,0,1,80
660980,428787,2015-04-08,Senate,"Do pass, but re-refer to the Committee on Appropriations",7,0,0,0,7
660980,435210,2015-04-20,Senate,"Do pass",6,1,0,0,7
660980,438341,2015-04-23,Senate,"Senate 3rd Reading SB17 Monning",35,2,2,0,39
660980,462076,2015-06-22,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
660980,465699,2015-07-08,Assembly,"Do pass, to Consent Calendar",14,0,0,3,17
660980,466457,2015-07-16,Assembly,"SB 17 Monning  Consent Calendar Second Day  Regular Session",79,0,0,1,80
660982,436022,2015-04-20,Assembly,"Do pass and be re-referred to the Committee on Appropriations",14,0,0,2,16
660982,443847,2015-05-06,Assembly,"Do pass",14,3,0,0,17
660982,445116,2015-05-11,Assembly,"AB 53 GARCIA, C.  Assembly Third Reading",65,13,0,2,80
660982,465425,2015-07-07,Senate,"Do pass, but re-refer to the Committee on Appropriations",10,1,0,0,11
660982,474110,2015-08-24,Senate,"Assembly 3rd Reading AB53 Cristina Garcia By Pan",32,7,1,0,40
660983,383961,2015-01-08,Assembly,"From committee:  Be adopted.  To third reading",10,0,0,1,11
660983,396724,2015-02-17,Senate,"Assembly 3rd Reading ACR3 Kim By Pan",36,0,1,0,37
660984,443411,2015-05-05,Assembly,"Do pass as amended",10,0,0,0,10
660984,446781,2015-05-14,Assembly,"AB 15 HOLDEN  Assembly Third Reading",79,0,0,1,80
660984,465685,2015-07-07,Senate,"Do pass, but re-refer to the Committee on Appropriations",6,0,1,0,7
660984,465686,2015-07-07,Senate,"Set, first hearing.  Held in Committee.  Reconsideration of 	favorable vote granted",5,0,2,0,7
