bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1636377,2016,AB1,4,Passed,2023-10-07,"Collective bargaining: Legislature.","An act to add Chapter 12.5 (commencing with Section 3599.50) to Division 4 of Title 1 of the Government Code, relating to the Legislature.",0,,2023-10-07,"Chaptered by Secretary of State - Chapter 313, Statutes of 2023.",https://legiscan.com/CA/bill/AB1/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240AB1
1636504,2016,ABX11,6,Failed,2023-03-27,"Oil refineries: maintenance.","An act relating to oil refineries.",0,,2023-03-27,"Died at Desk.",https://legiscan.com/CA/bill/ABX11/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320241AB1
1886624,2016,ABX21,4,Passed,2024-10-14,"Energy: transportation fuels: inventories: turnaround and maintenance.","An act to amend Sections 25354.2, 25364, 25367, 25371, 25372.2, and 25373 of, to add and repeal Section 25354.4 of, and to add, repeal, and add Section 25354.6 of, the Public Resources Code, relating to energy.",0,,2024-10-14,"Chaptered by Secretary of State - Chapter 1, Statutes of 2024.",https://legiscan.com/CA/bill/ABX21/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320242AB1
1636388,2016,AB2,2,Engrossed,2023-05-25,"Recycling: solar photovoltaic modules.","An act to amend Sections 42463, 42464, 42464.2, 42476, and 42479 of, and to add Chapter 8.7 (commencing with Section 42499.6) to Part 3 of Division 30 of, the Public Resources Code, relating to recycling, and making an appropriation therefor.",0,,2023-09-01,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB2/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240AB2
1636505,2016,ABX12,6,Failed,2023-03-27,"Motor Vehicle Fuel Tax Law: suspension of tax.","An act to amend Sections 7360, 7362, 7363, and 7364 of, and to add Section 7374 to, the Revenue and Taxation Code, relating to taxation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",0,,2023-03-27,"Died at Desk.",https://legiscan.com/CA/bill/ABX12/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320241AB2
1886646,2016,ABX22,6,Failed,2024-10-14,"Motor Vehicle Fuel Tax Law: suspension of tax.","An act to amend Sections 7360, 7362, 7363, and 7364 of, and to add Section 7374 to, the Revenue and Taxation Code, relating to taxation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",0,,2024-10-14,"Died at Desk.",https://legiscan.com/CA/bill/ABX22/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320242AB2
1636399,2016,AB3,4,Passed,2023-10-07,"Offshore wind energy: reports.","An act to amend, renumber, and add Section 25991.8 of, and to add Section 25991.9 to, the Public Resources Code, relating to energy.",0,,2023-10-07,"Chaptered by Secretary of State - Chapter 314, Statutes of 2023.",https://legiscan.com/CA/bill/AB3/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240AB3
1636508,2016,ABX13,6,Failed,2023-03-27,"Petroleum refineries: imports.","An act to add Chapter 6.68 (commencing with Section 25271) to Division 20 of the Health and Safety Code, relating to petroleum refineries.",0,,2023-03-27,"Died at Desk.",https://legiscan.com/CA/bill/ABX13/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320241AB3
1636410,2016,AB4,2,Engrossed,2023-05-25,"Covered California: expansion.","An act to repeal and add Section 100522 of the Government Code, relating to health care.",0,,2024-08-15,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB4/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240AB4
1636510,2016,ABX14,1,Introduced,2022-12-05,"Fish and wildlife: beaver.","An act relating to fish and wildlife.",0,,2022-12-05,"Read first time. To print.",https://legiscan.com/CA/bill/ABX14/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=2023202414ABX14
1636421,2016,AB5,4,Passed,2023-09-23,"The Safe and Supportive Schools Act.","An act to amend Section 218 of, and to add and repeal Section 218.3 of, the Education Code, relating to educational equity.",0,,2023-09-23,"Chaptered by Secretary of State - Chapter 220, Statutes of 2023.",https://legiscan.com/CA/bill/AB5/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240AB5
1636506,2016,ABX15,1,Introduced,2022-12-05,"Statewide water storage: expansion.","An act to add and repeal Part 2.57 (commencing with Section 10609.90) of Division 6 of the Water Code, relating to water.",0,,2022-12-05,"Read first time. To print.",https://legiscan.com/CA/bill/ABX15/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=2023202415ABX15
1636429,2016,AB6,2,Engrossed,2023-06-01,"Transportation planning: regional transportation plans: reduction of greenhouse gas emissions.","An act to amend Section 65080 of the Government Code, relating to transportation.",3948,"Senate Transportation",2024-06-11,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB6/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240AB6
1636514,2016,ABX16,1,Introduced,2022-12-05,"California Pocket Forest Initiative.","An act to add and repeal Chapter 2.1 (commencing with Section 4799.12.2) of Part 2.5 of Division 4 of the Public Resources Code, relating to forests.",0,,2022-12-05,"Read first time. To print.",https://legiscan.com/CA/bill/ABX16/2023,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=2023202416ABX16
