bill_id,people_id,position
1636377,14107,26
1636377,14109,27
1636377,14112,30
1636377,14120,34
1636377,14122,39
1636377,16296,5
1636377,16299,36
1636377,16303,42
1636377,18064,8
1636377,18065,3
1636377,18068,11
1636377,18069,23
1636377,18073,16
1636377,18077,24
1636377,18079,19
1636377,18082,32
1636377,19459,14
1636377,19487,9
1636377,19659,29
1636377,19717,10
1636377,19721,35
1636377,19723,41
1636377,19726,22
1636377,21374,25
1636377,21719,4
1636377,21723,40
1636377,21724,15
1636377,21725,21
1636377,21726,28
1636377,22932,1
1636377,22948,18
1636377,23099,31
1636377,23137,2
1636377,23155,6
1636377,23202,12
1636377,23203,13
1636377,23205,20
1636377,23214,7
1636377,23217,33
1636377,23219,37
1636377,23224,43
1636377,23227,17
1636377,23230,38
1636378,23213,1
1636378,23217,2
1636379,23210,1
1636380,1561,14
1636380,14122,15
1636380,18065,6
1636380,18068,10
1636380,19717,2
1636380,19723,9
1636380,19726,5
1636380,21719,7
1636380,22932,4
1636380,22948,3
1636380,23137,1
1636380,23155,12
1636380,23210,11
1636380,23214,13
1636380,23231,8
1636381,14123,8
1636381,18069,4
1636381,21440,6
1636381,21718,2
1636381,23206,3
1636381,23207,1
1636381,23211,5
1636381,23218,7
1636382,16287,6
1636382,16295,7
1636382,18066,3
1636382,19330,10
1636382,21718,2
1636382,23203,1
1636382,23206,4
1636382,23207,5
1636382,23218,8
1636382,23222,9
1636383,1551,14
1636383,11611,8
1636383,14099,4
1636383,14125,18
1636383,16221,10
1636383,16287,7
1636383,16294,11
1636383,16295,12
1636383,16309,2
1636383,18082,13
1636383,21718,5
1636383,21720,16
1636383,21728,15
1636383,23203,3
1636383,23206,1
1636383,23207,6
1636383,23211,9
1636383,23222,17
1636384,16295,4
1636384,23206,1
1636384,23207,2
1636384,23211,3
1636384,23222,5
1636385,23203,1
1636386,14117,5
1636386,16287,4
1636386,23203,2
1636386,23207,3
1636386,23211,1
1636387,11611,15
1636387,14117,17
1636387,14123,26
1636387,14125,29
1636387,16285,12
1636387,16287,14
1636387,16293,18
1636387,18066,9
1636387,18068,28
1636387,18069,13
1636387,18078,8
1636387,19659,20
1636387,19716,7
1636387,19720,24
1636387,21440,21
1636387,21718,10
1636387,21719,19
1636387,21728,22
1636387,23137,1
1636387,23202,4
1636387,23203,5
1636387,23204,6
1636387,23206,11
1636387,23209,16
1636387,23211,2
1636387,23214,3
1636387,23216,23
1636387,23219,25
1636387,23906,27
1636388,21723,1
1636389,16288,1
1636389,23231,2
1636390,16288,1
1636390,18068,6
1636390,18078,4
1636390,18082,5
1636390,21724,3
1636390,23216,2
1636391,16288,1
1636392,14116,1
1636393,14123,6
1636393,18078,2
1636393,21725,3
1636393,23137,1
1636393,23206,4
1636393,23214,5
1636394,16296,3
1636394,16299,4
1636394,18079,1
1636394,21719,2
1636395,16299,2
1636395,23099,1
1636396,23222,1
1636397,1504,15
1636397,1556,3
1636397,1561,38
1636397,14118,34
1636397,16288,19
1636397,16294,26
1636397,16296,2
1636397,16299,36
1636397,16303,45
1636397,16304,5
1636397,16308,28
1636397,17701,20
1636397,18065,22
1636397,18067,4
1636397,18068,44
1636397,18070,40
1636397,18073,12
1636397,18075,25
1636397,18077,18
1636397,19487,42
1636397,19658,1
1636397,19716,9
1636397,19717,14
1636397,19719,33
1636397,19723,43
1636397,19725,7
1636397,19726,17
1636397,19733,35
1636397,21374,21
1636397,21717,11
1636397,21719,24
1636397,21724,10
1636397,21726,23
1636397,21727,31
1636397,22918,41
1636397,23099,30
1636397,23152,6
1636397,23205,16
1636397,23213,27
1636397,23219,37
1636397,23224,46
1636397,23226,8
1636397,23227,13
1636397,23228,29
1636397,23229,32
1636397,23230,39
1636398,14118,9
1636398,16288,6
1636398,16303,12
1636398,16304,2
1636398,18073,4
1636398,19658,1
1636398,19719,8
1636398,19723,11
1636398,21718,5
1636398,21724,3
1636398,22918,10
1636398,23099,7
1636399,18070,5
1636399,23202,2
1636399,23208,3
1636399,23219,4
1636399,23224,1
1636400,1551,8
1636400,18065,7
1636400,18067,2
1636400,18077,6
1636400,21717,4
1636400,21723,1
1636400,23203,3
1636400,23205,5
1636400,23217,9
1636400,23219,10
1636401,23212,1
1636402,23221,1
1636403,14123,6
1636403,16303,7
1636403,21720,2
1636403,22932,3
1636403,23204,1
1636403,23211,4
1636403,23219,5
1636403,23224,8
1636404,14118,5
1636404,18082,3
1636404,19719,4
1636404,19728,6
1636404,21727,2
1636404,23223,1
1636405,19396,1
1636406,14118,12
1636406,16288,6
1636406,18065,7
1636406,18073,3
1636406,18079,4
1636406,19658,1
1636406,19719,11
1636406,19723,13
1636406,21724,2
1636406,23099,8
1636406,23205,5
1636406,23215,9
1636406,23216,10
1636407,18068,2
1636407,22948,1
1636408,21719,1
1636408,21724,2
1636409,10959,4
1636409,18072,1
1636409,18075,2
1636409,19719,3
1636410,16296,8
1636410,16299,12
1636410,18068,14
1636410,18079,2
1636410,19459,1
1636410,19487,13
1636410,19726,3
1636410,19733,11
1636410,21374,5
1636410,21719,7
1636410,23155,9
1636410,23202,4
1636410,23212,6
1636410,23214,10
1636411,16087,1
1636411,18079,2
1636412,14107,1
1636412,23128,3
1636412,23205,2
1636413,14099,3
1636413,19720,1
1636413,21440,5
1636413,21728,6
1636413,23213,4
1636413,23227,2
1636414,14107,1
1636415,19720,1
1636416,14122,3
1636416,19717,1
1636416,23205,2
1636417,10959,9
1636417,11611,23
1636417,14099,17
1636417,14116,30
1636417,14118,34
1636417,14123,40
1636417,14125,43
1636417,16087,36
1636417,16221,25
1636417,16285,20
1636417,16293,27
1636417,16295,1
1636417,16309,32
1636417,18066,15
1636417,18069,22
1636417,18073,11
1636417,18078,12
1636417,18082,31
1636417,19459,7
1636417,19717,13
1636417,19720,2
1636417,19721,35
1636417,19725,8
1636417,21440,28
1636417,21718,18
1636417,21720,38
1636417,21723,41
1636417,21728,33
1636417,22918,42
1636417,22932,14
1636417,23128,44
1636417,23152,6
1636417,23202,4
1636417,23203,5
1636417,23204,10
1636417,23205,16
1636417,23206,19
1636417,23207,21
1636417,23211,24
1636417,23212,26
1636417,23218,37
1636417,23220,3
1636417,23222,39
1636417,23228,29
1636418,19717,1
1636419,18067,1
1636419,19733,2
1636420,23220,1
1636421,14101,3
1636421,14116,10
1636421,16294,8
1636421,18065,5
1636421,18068,14
1636421,18079,2
1636421,21719,7
1636421,21723,13
1636421,21726,6
1636421,23128,15
1636421,23137,4
1636421,23219,12
1636421,23224,1
1636421,23228,9
1636421,23229,11
1636422,1561,9
1636422,14117,6
1636422,16285,5
1636422,16303,1
1636422,16308,7
1636422,18067,2
1636422,18068,10
1636422,18073,3
1636422,19721,8
1636422,23205,4
1636423,14118,9
1636423,18067,2
1636423,19717,4
1636423,21718,6
1636423,22654,5
1636423,22948,1
1636423,23208,7
1636423,23210,8
1636423,23219,10
1636423,23226,3
1636424,16288,2
1636424,18072,1
1636424,19719,4
1636424,23215,3
1636424,23223,5
1636425,14123,9
1636425,16295,6
1636425,18066,4
1636425,19330,3
1636425,21440,7
1636425,23203,1
1636425,23209,2
1636425,23211,5
1636425,23218,8
1636426,16303,3
1636426,18067,1
1636426,23205,2
1636427,16087,1
1636428,14109,6
1636428,16287,5
1636428,16293,1
1636428,16295,7
1636428,22932,4
1636428,22948,3
1636428,23203,2
1636428,23214,8
1636429,18077,1
1636430,18077,1
1636431,14122,15
1636431,14125,17
1636431,16291,2
1636431,16296,10
1636431,16303,18
1636431,17701,7
1636431,18068,16
1636431,18072,8
1636431,18073,4
1636431,18077,1
1636431,18082,12
1636431,19717,6
1636431,21719,9
1636431,21727,11
1636431,23202,3
1636431,23214,13
1636431,23216,14
1636431,23227,5
1636432,14116,1
1636433,1561,40
1636433,14107,24
1636433,14122,42
1636433,16087,37
1636433,16286,20
1636433,16288,6
1636433,16294,28
1636433,16296,31
1636433,16299,39
1636433,16303,50
1636433,18065,27
1636433,18067,1
1636433,18068,7
1636433,18072,22
1636433,18073,2
1636433,18077,18
1636433,18078,13
1636433,19459,10
1636433,19487,48
1636433,19658,19
1636433,19659,30
1636433,19717,14
1636433,19721,36
1636433,19723,5
1636433,19728,43
1636433,19733,38
1636433,21374,21
1636433,21717,11
1636433,21719,4
1636433,21722,44
1636433,21723,46
1636433,22918,47
1636433,22932,16
1636433,22948,15
1636433,23128,49
1636433,23137,3
1636433,23152,9
1636433,23155,32
1636433,23202,8
1636433,23205,17
1636433,23208,23
1636433,23210,25
1636433,23212,26
1636433,23213,29
1636433,23214,33
1636433,23216,34
1636433,23217,35
1636433,23221,41
1636433,23224,51
1636433,23227,12
1636433,23231,45
1636434,23203,1
1636435,16296,2
1636435,18067,1
1636436,14120,1
1636437,14120,1
1636438,14120,1
1636439,14125,5
1636439,14134,12
1636439,16285,9
1636439,16304,6
1636439,17701,1
1636439,18070,13
1636439,18075,2
1636439,18079,7
1636439,18082,3
1636439,19728,14
1636439,19733,4
1636439,21725,8
1636439,21726,10
1636439,21727,11
1636440,1507,6
1636440,1556,11
1636440,14118,12
1636440,14125,15
1636440,16087,13
1636440,16294,9
1636440,16299,14
1636440,16309,10
1636440,19725,4
1636440,19727,2
1636440,19728,3
1636440,21725,1
1636440,23137,7
1636440,23210,8
1636440,23226,5
1636441,18070,4
1636441,18079,2
1636441,23219,3
1636441,23228,1
1636442,16304,1
1636442,18068,3
1636442,18070,2
1636442,18075,6
1636442,21374,5
1636442,21724,4
1636443,11611,2
1636443,21728,1
1636444,1504,14
1636444,1507,1
1636444,1551,43
1636444,11611,2
1636444,14099,18
1636444,14112,38
1636444,14117,31
1636444,14118,49
1636444,14123,60
1636444,14125,63
1636444,16087,51
1636444,16221,33
1636444,16286,24
1636444,16287,23
1636444,16288,25
1636444,16291,30
1636444,16293,34
1636444,16294,36
1636444,16295,39
1636444,16299,4
1636444,16309,42
1636444,17701,26
1636444,18066,17
1636444,18069,22
1636444,18072,27
1636444,18078,12
1636444,18079,16
1636444,18082,41
1636444,19330,58
1636444,19459,8
1636444,19487,62
1636444,19659,37
1636444,19717,13
1636444,19719,48
1636444,19720,50
1636444,19725,9
1636444,19727,29
1636444,19733,3
1636444,21440,40
1636444,21718,19
1636444,21720,53
1636444,21722,57
1636444,21726,35
1636444,21728,44
1636444,22654,15
1636444,23128,64
1636444,23202,5
1636444,23203,6
1636444,23204,11
1636444,23206,20
1636444,23207,21
1636444,23209,28
1636444,23211,32
1636444,23214,45
1636444,23215,46
1636444,23217,47
1636444,23218,52
1636444,23220,54
1636444,23221,55
1636444,23222,56
1636444,23224,65
1636444,23225,7
1636444,23226,10
1636444,23231,59
1636444,23906,61
1636445,11611,1
1636445,18082,2
1636446,23230,1
1636447,1507,1
1636447,18065,3
1636447,19658,2
1636448,16285,3
1636448,16308,1
1636448,18067,2
1636448,18068,7
1636448,19487,5
1636448,19723,6
1636448,19733,4
1636449,14125,10
1636449,16221,6
1636449,16285,4
1636449,16287,5
1636449,16309,7
1636449,18066,3
1636449,19728,9
1636449,21720,1
1636449,21728,8
1636449,23204,2
1636450,1504,6
1636450,1556,1
1636450,1561,26
1636450,14101,18
1636450,14109,8
1636450,14122,27
1636450,16285,17
1636450,16288,7
1636450,16296,9
1636450,16299,25
1636450,18073,3
1636450,18079,15
1636450,19487,29
1636450,19658,19
1636450,19716,2
1636450,19719,10
1636450,19723,12
1636450,19733,11
1636450,21719,21
1636450,21723,28
1636450,21724,14
1636450,21727,23
1636450,22948,5
1636450,23137,20
1636450,23155,22
1636450,23205,16
1636450,23215,24
1636450,23226,13
1636450,23227,4
1636451,19733,1
1636451,23227,2
1636452,1551,13
1636452,14099,9
1636452,14125,18
1636452,16221,12
1636452,16285,10
1636452,17701,11
1636452,18066,8
1636452,18078,7
1636452,19719,14
