bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1893344,3029557,text,12781,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/3029557,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1#99INT
1894268,3029999,text,11370,text/html,Introduced,https://legiscan.com/CA/text/ABX11/id/3029999,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB1#99INT
1894268,3049384,text,14994,text/html,Amended,https://legiscan.com/CA/text/ABX11/id/3049384,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB1#98AMD
1893355,3029568,text,4603,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/3029568,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2#99INT
1894283,3030001,text,9484,text/html,Introduced,https://legiscan.com/CA/text/ABX12/id/3030001,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB2#99INT
1894283,3049197,text,45848,text/html,Amended,https://legiscan.com/CA/text/ABX12/id/3049197,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB2#98AMD
1893355,3178794,text,8526,text/html,Amended,https://legiscan.com/CA/text/AB2/id/3178794,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2#98AMD
1893355,3201527,text,8296,text/html,Amended,https://legiscan.com/CA/text/AB2/id/3201527,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2#97AMD
1893366,3029579,text,7346,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/3029579,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB3#99INT
1929564,3066911,text,8283,text/html,Introduced,https://legiscan.com/CA/text/ABX13/id/3066911,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB3#99INT
1893366,3183978,text,9367,text/html,Amended,https://legiscan.com/CA/text/AB3/id/3183978,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB3#98AMD
1893377,3029590,text,14724,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/3029590,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB4#99INT
1930793,3068340,text,34672,text/html,Introduced,https://legiscan.com/CA/text/ABX14/id/3068340,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB4#99INT
1930793,3077048,text,35684,text/html,Enrolled,https://legiscan.com/CA/text/ABX14/id/3077048,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB4#98ENR
1930793,3081861,text,33846,text/html,Chaptered,https://legiscan.com/CA/text/ABX14/id/3081861,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB4#97CHP
1893388,3029601,text,3189,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/3029601,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#99INT
1930784,3068339,text,57347,text/html,Introduced,https://legiscan.com/CA/text/ABX15/id/3068339,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB5#99INT
1893388,3162348,text,8502,text/html,Amended,https://legiscan.com/CA/text/AB5/id/3162348,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#98AMD
1893399,3029612,text,8951,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/3029612,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB6#99INT
1933606,3071014,text,6093,text/html,Introduced,https://legiscan.com/CA/text/ABX16/id/3071014,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB6#99INT
1893399,3193870,text,10220,text/html,Amended,https://legiscan.com/CA/text/AB6/id/3193870,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB6#98AMD
1893404,3029617,text,5061,text/html,Introduced,https://legiscan.com/CA/text/AB7/id/3029617,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB7#99INT
1933484,3071005,text,31331,text/html,Introduced,https://legiscan.com/CA/text/ABX17/id/3071005,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB7#99INT
1893405,3029618,text,8682,text/html,Introduced,https://legiscan.com/CA/text/AB8/id/3029618,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB8#99INT
1933305,3072443,text,30931,text/html,Introduced,https://legiscan.com/CA/text/ABX18/id/3072443,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB8#99INT
1893405,3182261,text,218609,text/html,Amended,https://legiscan.com/CA/text/AB8/id/3182261,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB8#98AMD
1893406,3029619,text,6779,text/html,Introduced,https://legiscan.com/CA/text/AB9/id/3029619,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB9#99INT
